Order,Creative,Date,adgapid_booking,adgapid_creative,Creative target ad unit size,SP_Buchungsstandort,Total impressions,Total clicks,Total CTR,Total revenue,First quartiles,Midpoints,Third quartiles,Completes,Average viewing rate,Total Active View average viewable time (seconds)
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-01,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1050,0,0.0,17.32,988,966,956,949,0.9316,14.1383
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-02,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1153,1,0.0009,19.02,1109,1089,1073,1067,0.9485,14.1685
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-03,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1028,0,0.0,16.96,975,957,942,934,0.9328,13.9942
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-04,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1101,2,0.0018,18.17,1059,1039,1027,1025,0.9443,14.1697
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-05,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1086,2,0.0018,17.92,1043,1022,1012,1003,0.945,14.2371
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-06,adgapid_023_845008_00038922_021_0_0,,480x360v,München,992,0,0.0,16.37,941,916,904,899,0.9341,14.0427
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-07,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1049,1,0.001,17.31,1004,987,977,968,0.9477,14.1553
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-08,adgapid_023_845008_00038922_021_0_0,,480x360v,München,993,1,0.001,16.38,925,898,890,880,0.9212,14.0405
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-09,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1019,1,0.001,16.81,959,930,921,918,0.9254,13.9705
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-10,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1049,1,0.001,17.31,978,940,930,921,0.912,13.8545
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-11,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1077,0,0.0,17.77,1017,990,980,968,0.9255,13.9795
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-12,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1036,1,0.001,17.09,979,949,928,922,0.9262,13.9341
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-13,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1069,0,0.0,17.64,993,962,943,937,0.913,13.9588
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-14,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1033,2,0.0019,17.04,969,945,936,927,0.9285,14.1012
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-15,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1101,0,0.0,18.17,1025,997,984,975,0.9154,13.9324
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-16,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1016,0,0.0,16.76,959,931,919,910,0.9297,13.9918
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-17,adgapid_023_845008_00038922_021_0_0,,480x360v,München,999,1,0.001,16.48,949,919,900,888,0.9296,13.9135
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-18,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1043,1,0.001,17.21,981,961,950,944,0.9313,14.042
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-19,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1017,3,0.0029,16.78,949,925,912,904,0.9225,13.9195
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-20,adgapid_023_845008_00038922_021_0_0,,480x360v,München,1036,0,0.0,17.09,971,940,926,920,0.9198,13.9212
DAT-2026-FKI-Flight2-Digital_38922,Easy Reinkommen,2026-08-21,adgapid_023_845008_00038922_021_0_0,,480x360v,München,972,2,0.0021,16.04,902,885,875,870,0.9216,14.1257
